,Reviews
140,"Здравствуйте.
Помогите пожалуйста создать и обучить нейросеть  оборудование электроподстанции"
141,"Я попробовал но не запустился, наверное это из компа, у меня оно слабый вин 7 32бит"
142,2:03 И тут связи решают...
143,Них*я не понял но очень интересно. Ты чего кликбейтишь чел? О какой нейросети с нуля идёт речь когда ты сходу п*з*ишь на локальном научном языке ничего не объясняя и такой типа Ну ЭтО кОрОчЕ нАм НаДо ПоЭтОмУ дОбАвЛяЕм. Это не нейросеть с нуля это просто объяснение способа обучения сетки для уже конкретно таких шарящих людей
144,"Омг, я думал я хорош в пайтоне, а тут целый темный лес для меня 😢"
145,"Никаких синапсов в сети Хопфилда нет (все кружочки соседних слоев соединены палочками). Это абстракция, наиболее подходящая для формул.
Синапс - это одно соединение отростка одного нейрона с отростком другого нейрона."
146,Самый простой(субъективно) алгоритм обучения: CNN
147,"Суть видео :
Запустит БИБЛИОТЕКУ

Название :
ТВОЯ ПЕРВАЯ НЕЙРОСЕТЬ

Спасибо не ИИ, хотя ты и разницы не знаешь наверное"
148,"а может это буква З а не цифра 3? Если нарисовать на чистом листе то без контекста и человеку трудно понять, это 3 или З."
149,"Подскажите, как скачать библиотеки numpy и другие?"
150,Я нечего не понял
151,"голос и интонация отвращают, отторгают и слушать неохота, хочется быстрее переключить на другой канал."
152,"Самый тупой урок питона. Смешал все в кучу. Никакой последовательности. С простейших массивов, сразу перешел к матричным. А потом перешел к ""низкому"" уровню программирования. Сумбур в башке автора=сумбур в ролике. Вот такие прогеры отпугивают жаждущих."
153,"Спасибо за видео. А как научить общаться? Ну или выдавать нужную инфу по ""скормленным"" данным? Кучу роликов пересмотрел и что-то вроде понятно, но не простым языком там сказано, у тебя попроще объяснения, хотя смотрю и слушаю тебя на скорость 1.75, уж больно медленно излагаешь для меня))"
154,oj-k print hello world a= переменная  +-/*    список кортеж коментарий цикл массив ооп. блин ух за 200 тыщ р.) Куляк кули)) Хотя сомневаюсь что там ооп есть.
155,"помогите, пожалуйста, программа выдает ошибку:
cannot reshape array of size 47040000 into shape (60000,28)

Выделяет строку  x_train = np.reshape(x_train, (x_train.shape[0], x_train.shape[1]))"
156,"Как же жалко, что этого не было в школе 30 лет назад, когда я хорошо знал математику..."
157,Спасибо очень интересно. Искал базовый понятный пример работы нейросети.
158,Спасибо очень интересно. Искал базовый понятный пример работы нейросети.
159,"Хауди, расскажи пожалуйста как работает нейросеть chatGPT и можно ли ее построить как нибудь с нуля, что бы использовать в своих целях?"
160,"Хауди, давай больше подобного контента, это суперски. Из русско-язычных мало кто так понятно обьясняет нейросети. Спасибо"
161,Порожняк
162,Попробуем 👍
163,хочу создать себе нейронку которая будет генерить мне ключи для стима
164,"Не понятно, что происходит внутри. Вот он получил изображение, дальше что он делает? Пиксель за пикселем смотри и ?"
165,"Хауди, сделай видео ""Учим Godot 4 за час"" или плейлист по Godot 4.1! Этот движок сейчас быстро развивается и классно бы было посмотреть в твоей подаче и русской озвучке, а также язык GDscript очень похож на python!🙂"
166,Да надоел уже этот пример с mnist... ничего более практичного и уникального не нашел 😩
167,Питухон разработчик* :)
168,"как говорила одна древняя мыслительница: ""сложнааа"""
169,красава
170,"Хауди хо, а сделай нейро-стримера втубера"
171,"Братан, хорош, давай, давай, вперёд! Контент в кайф, можно ещё? Вообще красавчик! Можно вот этого вот почаще?"
172,"Чува ты не чего не объясняешь, просто говоришь просто объявляем это, если вам что-то не понятно купите курс по программированию. Ты как учебник информатики не чего не объясняешь,  я только понял что нейроны пропускаю через себе информацию, и то я это вспомнил из видео как работают нейросети где чел объяснял 1 час 20 минут. Ты даже понятным простым языком не объяснил что такое матрицы, нет сказать что матрицы они по каждому пикселю собирают изображение в виде 00, 01. np.random.uniform(-0.5, 0.5, (20,784)) вот что это? ты просто что веса это : чтобы нейросеть лучше справлялась с задачей, ты даже пример не показал, ты не объяснил понятным кратким языком что это, ты просто сказал что это просто надо, это как рассказывать куча воды которой не понадобиться под предлогом что это понадобится, и спустя час воды в уши говоришь съёмным видо, для чего это надо, почему не рассказать всё понятным языком? Почему ты не мог понятно объяснять код? Ты даже не объяснил значения переменных, мне кажется ты даже сам не чего не понимал поэтому читал статью, и переписовал код с сайта. Если не разбираешься, то зачем учить не правильной логикой других людей?"
173,"Чет долго они питону учат, это прямо для тех кто компа не видел?😂"
174,"Images, labels = utils.load.dataset() выдает ошибку, что нет такой команды. Что делать?"
175,Мдаа если бы не хауди хо я бы ещё долго изучал бы эту хуйню. Ведь мой учитель не может объяснить
176,"Хауди: посвещает отдельное видео о нейросетях из за того что какому-то челу что то не понравилось.
Половина комментаторов под видео “учим Юнити за час” которая писала о том что видос длится 2 часа: 🗿"
177,"import pygame
import random
import sys

# Инициализация Pygame
pygame.init()

# Размер окна
ширина = 400
высота = 600

# Цвета
белый = (255, 255, 255)
красный = (255, 0, 0)

# Создание окна
экран = pygame.display.set_mode((ширина, высота))
pygame.display.set_caption(""Ловите падающие объекты"")

# Размеры персонажа
персонаж_ширина = 50
персонаж_высота = 50

# Начальные координаты персонажа
персонаж_x = ширина // 2 - персонаж_ширина // 2
персонаж_y = высота - персонаж_высота - 10

# Скорость персонажа
персонаж_скорость = 1

# Размеры объектов, которые нужно избегать
объект_ширина = 30
объект_высота = 30

# Скорость объектов
объект_скорость = 0.9

# Счет
счет = 0

# Ускорение скорости объекта
ускорение_скорости = 0.2

# Ускорение на каком счете
ускорение_счета = 1.75

# Значение счета для умножения
скорость_счета = 10

# Победа
победа = False

# Функция рисования персонажа
def рисовать_персонажа(x, y):
    pygame.draw.rect(экран, красный, (x, y, персонаж_ширина, персонаж_высота))

# Функция рисования объекта
def рисовать_объект(x, y):
    pygame.draw.rect(экран, белый, (x, y, объект_ширина, объект_высота))

# Генерация начального положения объекта
объект_x = random.randint(0, ширина - объект_ширина)
объект_y = 0

# Основной цикл игры
while True:
    for event in pygame.event.get():
        if event.type == pygame.QUIT:
            pygame.quit()
            sys.exit()

    keys = pygame.key.get_pressed()

    # Управление персонажем
    if keys[pygame.K_LEFT] and персонаж_x > 0:
        персонаж_x -= персонаж_скорость
    if keys[pygame.K_RIGHT] and персонаж_x < ширина - персонаж_ширина:
        персонаж_x += персонаж_скорость

    # Движение объекта
    объект_y += объект_скорость

    # Проверка столкновения объекта с персонажем
    if (
        персонаж_x < объект_x + объект_ширина
        and персонаж_x + персонаж_ширина > объект_x
        and персонаж_y < объект_y + объект_высота
        and персонаж_y + персонаж_высота > объект_y
    ):
        # Если столкновение произошло, увеличиваем счет и генерируем новый объект
        счет += 1
        объект_x = random.randint(0, ширина - объект_ширина)
        объект_y = 0
        if счет >= скорость_счета:
            объект_скорость += ускорение_скорости
            скорость_счета *= ускорение_счета

    # Если объект достиг нижней границы экрана, генерируем новый объект
    if объект_y > высота:
        объект_x = random.randint(0, ширина - объект_ширина)
        объект_y = 0
        счет -= 5

    # Если персонаж выходит за границы экрана, переносим его на противоположную сторону
    if персонаж_x < 0:
        персонаж_x = ширина - персонаж_ширина
    elif персонаж_x > ширина - персонаж_ширина:
        персонаж_x = 0

    # Очистка экрана
    экран.fill((0, 0, 0))

    # Рисование персонажа
    рисовать_персонажа(персонаж_x, персонаж_y)

    # Рисование объекта
    рисовать_объект(объект_x, объект_y)

    # Если счет меньше 0, завершаем игру
    if счет < 0:
        pygame.quit()
        sys.exit()

    # Отображение счета
    шрифт = pygame.font.Font(None, 36)
    текст = шрифт.render(f""Счет: {счет}"", True, белый)
    экран.blit(текст, (10, 10))

    # Обновление экрана
    pygame.display.update()"
